#MJD,flux_lag_1,flux_lag_2,flux_lag_3,flux_rolling_mean_3,flux_rolling_std_3,index_lag_1,index_lag_2,index_lag_3,index_rolling_mean_3,index_rolling_std_3
57262.49996527778,1.6e-07,1.82e-07,1.45e-07,0.0,0.0,2.36,2.27,2.61,2.37,0.11
57269.49996527778,1.56e-07,1.6e-07,1.82e-07,0.0,0.0,2.49,2.36,2.27,2.28,0.26
57276.49996527778,1.17e-07,1.56e-07,1.6e-07,0.0,0.0,1.99,2.49,2.36,2.31,0.28
57283.49996527778,8.69e-08,1.17e-07,1.56e-07,0.0,0.0,2.45,1.99,2.49,2.19,0.23
57311.49996527778,5.77e-08,8.69e-08,1.17e-07,0.0,0.0,2.14,2.45,1.99,3.2,1.57
57318.49996527778,9.12e-08,5.77e-08,8.69e-08,0.0,0.0,5.0,2.14,2.45,3.22,1.56
57339.49996527778,5.42e-08,9.12e-08,5.77e-08,0.0,0.0,2.51,5.0,2.14,3.41,1.38
57360.49996527778,1.77e-07,5.42e-08,9.12e-08,0.0,0.0,2.73,2.51,5.0,2.54,0.18
57367.49996527778,1.73e-07,1.77e-07,5.42e-08,0.0,0.0,2.37,2.73,2.51,2.44,0.27
57374.49996527778,1.24e-07,1.73e-07,1.77e-07,0.0,0.0,2.21,2.37,2.73,2.24,0.12
57381.49996527778,1.1e-07,1.24e-07,1.73e-07,0.0,0.0,2.13,2.21,2.37,2.07,0.18
57388.49996527778,2.47e-07,1.1e-07,1.24e-07,0.0,0.0,1.87,2.13,2.21,2.05,0.15
57395.49996527778,2.86e-07,2.47e-07,1.1e-07,0.0,0.0,2.14,1.87,2.13,1.99,0.14
57402.49996527778,6.14e-07,2.86e-07,2.47e-07,0.0,0.0,1.95,2.14,1.87,1.98,0.14
57409.49996527778,6.59e-07,6.14e-07,2.86e-07,0.0,0.0,1.86,1.95,2.14,1.89,0.06
57416.49996527778,3.59e-07,6.59e-07,6.14e-07,0.0,0.0,1.85,1.86,1.95,1.97,0.19
57423.49996527778,1.58e-07,3.59e-07,6.59e-07,0.0,0.0,2.19,1.85,1.86,2.13,0.26
57430.49996527778,2.08e-07,1.58e-07,3.59e-07,0.0,0.0,2.35,2.19,1.85,2.39,0.22
57437.49996527778,1.71e-07,2.08e-07,1.58e-07,0.0,0.0,2.62,2.35,2.19,2.53,0.16
57444.49996527778,1.6e-07,1.71e-07,2.08e-07,0.0,0.0,2.62,2.62,2.35,2.64,0.03
57451.49996527778,1.42e-07,1.6e-07,1.71e-07,0.0,0.0,2.68,2.62,2.62,2.7,0.1
57465.49996527778,1.09e-07,1.42e-07,1.6e-07,0.0,0.0,2.81,2.68,2.62,3.05,0.53
57472.49996527778,2.17e-07,1.09e-07,1.42e-07,0.0,0.0,3.65,2.81,2.68,3.21,0.42
57486.49996527778,6.74e-08,2.17e-07,1.09e-07,0.0,0.0,3.17,3.65,2.81,3.32,0.29
57493.49996527778,6.54e-08,6.74e-08,2.17e-07,0.0,0.0,3.13,3.17,3.65,2.91,0.42
57514.49996527778,9.49e-08,6.54e-08,6.74e-08,0.0,0.0,2.43,3.13,3.17,2.47,0.64
57521.49996527778,5.63e-08,9.49e-08,6.54e-08,0.0,0.0,1.85,2.43,3.13,2.18,0.3
57528.49996527778,1.95e-07,5.63e-08,9.49e-08,0.0,0.0,2.26,1.85,2.43,2.13,0.24
57535.49996527778,2.31e-07,1.95e-07,5.63e-08,0.0,0.0,2.27,2.26,1.85,2.41,0.25
57542.49996527778,1.15e-07,2.31e-07,1.95e-07,0.0,0.0,2.7,2.27,2.26,2.44,0.23
57549.49996527778,1.2e-07,1.15e-07,2.31e-07,0.0,0.0,2.35,2.7,2.27,2.55,0.18
57563.49996527778,9.45e-08,1.2e-07,1.15e-07,0.0,0.0,2.61,2.35,2.7,2.5,0.14
57570.49996527778,1.76e-07,9.45e-08,1.2e-07,0.0,0.0,2.55,2.61,2.35,2.52,0.11
57584.49996527778,9.39e-08,1.76e-07,9.45e-08,0.0,0.0,2.4,2.55,2.61,2.55,0.15
57619.49996527778,5.21e-08,9.39e-08,1.76e-07,0.0,0.0,2.7,2.4,2.55,3.31,1.32
57640.49996527778,2.41e-07,5.21e-08,9.39e-08,0.0,0.0,4.83,2.7,2.4,4.18,1.28
57654.49996527778,7.84e-08,2.41e-07,5.21e-08,0.0,0.0,5.0,4.83,2.7,4.09,1.43
57745.49996527778,8e-08,7.84e-08,2.41e-07,0.0,0.0,2.45,5.0,4.83,3.49,1.34
57773.4999537037,6.2e-08,8e-08,7.84e-08,0.0,0.0,3.02,2.45,5.0,3.06,0.63
57836.4999537037,2.09e-07,6.2e-08,8e-08,0.0,0.0,3.71,3.02,2.45,3.29,0.37
57843.4999537037,1.03e-07,2.09e-07,6.2e-08,0.0,0.0,3.13,3.71,3.02,3.29,0.37
57850.4999537037,7.95e-08,1.03e-07,2.09e-07,0.0,0.0,3.03,3.13,3.71,2.95,0.24
57871.4999537037,1.18e-07,7.95e-08,1.03e-07,0.0,0.0,2.68,3.03,3.13,3.57,1.25
57885.4999537037,1.91e-07,1.18e-07,7.95e-08,0.0,0.0,5.0,2.68,3.03,3.32,1.47
57955.4999537037,7.34e-08,1.91e-07,1.18e-07,0.0,0.0,2.29,5.0,2.68,3.52,1.37
57997.4999537037,6.29e-08,7.34e-08,1.91e-07,0.0,0.0,3.26,2.29,5.0,2.75,0.49
58004.4999537037,6.31e-08,6.29e-08,7.34e-08,0.0,0.0,2.7,3.26,2.29,2.89,0.32
58011.4999537037,5.36e-08,6.31e-08,6.29e-08,0.0,0.0,2.72,2.7,3.26,2.48,0.39
58116.4999537037,5.25e-08,5.36e-08,6.31e-08,0.0,0.0,2.03,2.72,2.7,3.25,1.55
58123.4999537037,9.04e-08,5.25e-08,5.36e-08,0.0,0.0,5.0,2.03,2.72,3.38,1.5
